,precursor_name,updated_precursor_name
1487,PI(16:1_20:4),PI(16:1_20:4)
1488,PI(16:1_22:4),PI(16:1_22:4)
1489,PI(16:1_22:5),PI(16:1_22:5)
1490,PI(16:1_22:6),PI(16:1_22:6)
1491,PI(17:0_17:0),PI(17:0_17:0)
1492,PI(17:0_18:0),PI(17:0_18:0)
1493,PI(17:0_18:1),PI(17:0_18:1)
1494,PI(17:0_18:2),PI(17:0_18:2)
1495,PI(17:0_18:3),PI(17:0_18:3)
1496,PI(17:0_19:0),PI(17:0_19:0)
1497,PI(17:0_20:0),PI(17:0_20:0)
1498,PI(17:0_20:1),PI(17:0_20:1)
1499,PI(17:0_20:2),PI(17:0_20:2)
1500,PI(17:0_20:3),PI(17:0_20:3)
1501,PI(17:0_20:4),PI(17:0_20:4)
1502,PI(17:0_20:5),PI(17:0_20:5)
1503,PI(17:0_22:4),PI(17:0_22:4)
1504,PI(18:0_14:0),PI(18:0_14:0)
1505,PI(18:0_16:1),PI(18:0_16:1)
1506,PI(18:0_18:0),PI(18:0_18:0)
1507,PI(18:0_18:1),PI(18:0_18:1)
1508,PI(18:0_18:2),PI(18:0_18:2)
1509,PI(18:0_18:3),PI(18:0_18:3)
1510,PI(18:0_19:0),PI(18:0_19:0)
1511,PI(18:0_20:0),PI(18:0_20:0)
1512,PI(18:0_20:1),PI(18:0_20:1)
1513,PI(18:0_20:2),PI(18:0_20:2)
1514,PI(18:0_20:3),PI(18:0_20:3)
1515,PI(18:0_20:4),PI(18:0_20:4)
1516,PI(18:0_20:5),PI(18:0_20:5)
1517,PI(18:0_22:4),PI(18:0_22:4)
1518,PI(18:0_22:5),PI(18:0_22:5)
1519,PI(18:0_22:6),PI(18:0_22:6)
1520,PI(18:1_16:1),PI(18:1_16:1)
1521,PI(18:1_18:1),PI(18:1_18:1)
1522,PI(18:1_18:2),PI(18:1_18:2)
1523,PI(18:1_18:3),PI(18:1_18:3)
1524,PI(18:1_19:0),PI(18:1_19:0)
1525,PI(18:1_20:0),PI(18:1_20:0)
1526,PI(18:1_20:1),PI(18:1_20:1)
1527,PI(18:1_20:2),PI(18:1_20:2)
1528,PI(18:1_20:3),PI(18:1_20:3)
1529,PI(18:1_20:4),PI(18:1_20:4)
1530,PI(18:1_20:5),PI(18:1_20:5)
1531,PI(18:1_22:4),PI(18:1_22:4)
1532,PI(18:1_22:5),PI(18:1_22:5)
1533,PI(18:1_22:6),PI(18:1_22:6)
1534,PI(18:2_16:1),PI(18:2_16:1)
1535,PI(18:2_18:2),PI(18:2_18:2)
1536,PI(18:2_18:3),PI(18:2_18:3)
1537,PI(18:2_19:0),PI(18:2_19:0)
1538,PI(18:2_20:0),PI(18:2_20:0)
1539,PI(18:2_20:1),PI(18:2_20:1)
1540,PI(18:2_20:2),PI(18:2_20:2)
1541,PI(18:2_20:3),PI(18:2_20:3)
1542,PI(18:2_20:4),PI(18:2_20:4)
1543,PI(18:2_20:5),PI(18:2_20:5)
1544,PI(18:2_22:4),PI(18:2_22:4)
1545,PI(18:2_22:5),PI(18:2_22:5)
1546,PI(18:2_22:6),PI(18:2_22:6)
1547,PI(18:3_19:0),PI(18:3_19:0)
1548,PI(18:3_20:0),PI(18:3_20:0)
1549,PI(18:3_20:1),PI(18:3_20:1)
1550,PI(18:3_20:2),PI(18:3_20:2)
1551,PI(18:3_20:3),PI(18:3_20:3)
1552,PI(18:3_20:4),PI(18:3_20:4)
1553,PI(18:3_20:5),PI(18:3_20:5)
1554,PI(18:3_22:4),PI(18:3_22:4)
1555,PI(18:3_22:5),PI(18:3_22:5)
1556,PI(18:3_22:6),PI(18:3_22:6)
1557,PI(19:0_19:0),PI(19:0_19:0)
1558,PI(19:0_20:0),PI(19:0_20:0)
1559,PI(19:0_20:1),PI(19:0_20:1)
1560,PI(19:0_20:2),PI(19:0_20:2)
1561,PI(19:0_20:3),PI(19:0_20:3)
1562,PI(19:0_20:4),PI(19:0_20:4)
1563,PI(19:0_20:5),PI(19:0_20:5)
1564,PI(19:0_22:4),PI(19:0_22:4)
1565,PI(19:0_22:5),PI(19:0_22:5)
1566,PI(19:0_22:6),PI(19:0_22:6)
1567,PI(20:0_16:1),PI(20:0_16:1)
1568,PI(20:0_18:1),PI(20:0_18:1)
1569,PI(20:0_18:2),PI(20:0_18:2)
1570,PI(20:0_18:3),PI(20:0_18:3)
1571,PI(20:0_20:0),PI(20:0_20:0)
1572,PI(20:0_20:1),PI(20:0_20:1)
1573,PI(20:0_20:2),PI(20:0_20:2)
1574,PI(20:0_20:3),PI(20:0_20:3)
1575,PI(20:0_20:4),PI(20:0_20:4)
1576,PI(20:0_20:5),PI(20:0_20:5)
1577,PI(20:0_22:4),PI(20:0_22:4)
1578,PI(20:0_22:5),PI(20:0_22:5)
1579,PI(20:0_22:6),PI(20:0_22:6)
1580,PI(20:1_20:1),PI(20:1_20:1)
1581,PI(20:1_20:2),PI(20:1_20:2)
1582,PI(20:1_20:3),PI(20:1_20:3)
1583,PI(20:1_20:4),PI(20:1_20:4)
1584,PI(20:1_22:4),PI(20:1_22:4)
1585,PI(20:1_22:5),PI(20:1_22:5)
1586,PI(20:1_22:6),PI(20:1_22:6)
1587,PI(20:2_20:2),PI(20:2_20:2)
1588,PI(20:2_20:3),PI(20:2_20:3)
1589,PI(20:2_20:4),PI(20:2_20:4)
1590,PI(20:2_20:5),PI(20:2_20:5)
1591,PI(20:2_22:4),PI(20:2_22:4)
1592,PI(20:2_22:5),PI(20:2_22:5)
1593,PI(20:2_22:6),PI(20:2_22:6)
1594,PI(20:3_20:4),PI(20:3_20:4)
1595,PI(20:3_22:4),PI(20:3_22:4)
1596,PI(20:3_22:5),PI(20:3_22:5)
1597,PI(20:3_22:6),PI(20:3_22:6)
1598,PI(20:4_20:4),PI(20:4_20:4)
1599,PI(20:4_20:5),PI(20:4_20:5)
1600,PI(20:4_22:4),PI(20:4_22:4)
1601,PI(20:4_22:5),PI(20:4_22:5)
1602,PI(20:4_22:6),PI(20:4_22:6)
1603,PI(20:5_20:5),PI(20:5_20:5)
1604,PI(20:5_22:4),PI(20:5_22:4)
1605,PI(20:5_22:5),PI(20:5_22:5)
1606,PI(20:5_22:6),PI(20:5_22:6)
1607,PI(22:4_22:4),PI(22:4_22:4)
1608,PI(22:4_22:5),PI(22:4_22:5)
1609,PI(22:4_22:6),PI(22:4_22:6)
1610,PI(22:5_22:5),PI(22:5_22:5)
1611,PI(22:5_22:6),PI(22:5_22:6)
1612,SIL_17:0-14:1 PI-d5,SIL_PI(17:0_14:1)_d5
1613,SIL_17:0-16:1 PI-d5,SIL_PI(17:0_16:1)_d5
1614,SIL_17:0-18:1 PI-d5,SIL_PI(17:0_18:1)_d5
1615,SIL_17:0-20:3 PI-d5,SIL_PI(17:0_20:3)_d5
1616,SIL_17:0-22:4 PI-d5,SIL_PI(17:0_22:4)_d5
1617,PS(14:0_14:0),PS(14:0_14:0)
1618,PS(14:0_15:0),PS(14:0_15:0)
1619,PS(14:0_16:0),PS(14:0_16:0)
1620,PS(14:0_16:1),PS(14:0_16:1)
1621,PS(14:0_18:0),PS(14:0_18:0)
1622,PS(14:0_18:1),PS(14:0_18:1)
1623,PS(14:0_18:2),PS(14:0_18:2)
1624,PS(14:0_18:3),PS(14:0_18:3)
